year	week	rank	title_id	title	author
1932	1932-05-09	2	2875	MAGNOLIA STREET	Louis Golding
1932	1932-05-09	3	847	BRIGHT SKIN	Julia Peterkin
1932	1932-05-16	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-16	2	167	A MODERN HERO	Louis Bromfield
1932	1932-05-16	3	2875	MAGNOLIA STREET	Louis Golding
1932	1932-05-23	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-23	2	167	A MODERN HERO	Louis Bromfield
1932	1932-05-23	3	847	BRIGHT SKIN	Julia Peterkin
1932	1932-05-30	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-30	2	4652	THE BLACK SWAN	Rafael Sabatini
1932	1932-05-30	3	167	A MODERN HERO	Louis Bromfield
1932	1932-06-06	1	1474	DISTRICT NURSE	Faith Baldwin
1932	1932-06-06	2	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-06-06	3	4652	THE BLACK SWAN	Rafael Sabatini
1932	1932-06-13	1	5193	THE FOUNTAIN	Charles Morgan
1932	1932-06-13	2	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-06-13	3	1474	DISTRICT NURSE	Faith Baldwin
1932	1932-06-20	1	5193	THE FOUNTAIN	Charles Morgan
1932	1932-06-20	2	1474	DISTRICT NURSE	Faith Baldwin
1980	1980-11-02	12	6372	THE SPIKE	Arnaud de Borchgrave and Robert Moss
1980	1980-11-02	13	6140	THE RING	Danielle Steel
1980	1980-11-02	14	2543	KANE & ABEL	Jeffrey Archer
1980	1980-11-02	15	3716	RANDOM WINDS	Belva Plain
1980	1980-11-09	1	4897	THE COVENANT	James A. Michener
1980	1980-11-09	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-11-09	3	1830	FIRESTARTER	Stephen King
1980	1980-11-09	4	2770	LOON LAKE	E. L. Doctorow
1980	1980-11-09	5	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-11-09	6	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-11-09	7	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-11-09	8	5940	THE ORIGIN	Irving Stone
1980	1980-11-09	9	1750	FANNY	Erica Jong
1980	1980-11-09	10	6222	THE SECOND LADY	Irving Wallace
1980	1980-11-09	11	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-11-09	12	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-11-09	13	6140	THE RING	Danielle Steel
1980	1980-11-09	14	5923	THE OLD NEIGHBORHOOD	Avery Corman
1980	1980-11-09	15	3716	RANDOM WINDS	Belva Plain
1980	1980-11-16	1	4897	THE COVENANT	James A. Michener
1980	1980-11-16	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-11-16	3	1830	FIRESTARTER	Stephen King
1980	1980-11-16	4	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-11-16	5	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-11-16	6	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-11-16	7	2770	LOON LAKE	E. L. Doctorow
1980	1980-11-16	8	6222	THE SECOND LADY	Irving Wallace
1980	1980-11-16	9	5940	THE ORIGIN	Irving Stone
1980	1980-11-16	10	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-11-16	11	6140	THE RING	Danielle Steel
1980	1980-11-16	12	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-11-16	13	1750	FANNY	Erica Jong
1980	1980-11-16	14	5923	THE OLD NEIGHBORHOOD	Avery Corman
1980	1980-11-16	15	3716	RANDOM WINDS	Belva Plain
1980	1980-11-23	1	4897	THE COVENANT	James A. Michener
1980	1980-11-23	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-11-23	3	1830	FIRESTARTER	Stephen King
1980	1980-11-23	4	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-11-23	5	3697	RAGE OF ANGELS	Sidney Sheldon 
1980	1980-11-23	6	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-11-23	7	2770	LOON LAKE	E. L. Doctorow
1980	1980-11-23	8	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-11-23	9	6222	THE SECOND LADY	Irving Wallace
1980	1980-11-23	10	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-11-23	11	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-11-23	12	5940	THE ORIGIN	Irving Stone
1980	1980-11-23	13	6140	THE RING	Danielle Steel
1980	1980-11-23	14	1750	FANNY	Erica Jong
1980	1980-11-23	15	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-11-30	1	4897	THE COVENANT	James A. Michener
1980	1980-11-30	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-11-30	3	1830	FIRESTARTER	Stephen King
1980	1980-11-30	4	2770	LOON LAKE	E. L. Doctorow
1980	1980-11-30	5	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-11-30	6	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-11-30	7	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-11-30	8	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-11-30	9	6222	THE SECOND LADY	Irving Wallace
1980	1980-11-30	10	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-11-30	11	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-11-30	12	6140	THE RING	Danielle Steel
1980	1980-11-30	13	2893	MANCHU	Robert S. Elegant
1980	1980-11-30	14	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-11-30	15	5940	THE ORIGIN	Irving Stone
1980	1980-12-07	1	4897	THE COVENANT	James A. Michener
1980	1980-12-07	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-12-07	3	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-12-07	4	1830	FIRESTARTER	Stephen King
1980	1980-12-07	5	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-12-07	6	2770	LOON LAKE	E. L. Doctorow
1980	1980-12-07	7	5940	THE ORIGIN	Irving Stone
1980	1980-12-07	8	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-12-07	9	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-12-07	10	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-12-07	11	6222	THE SECOND LADY	Irving Wallace
1980	1980-12-07	12	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-12-07	13	2893	MANCHU	Robert S. Elegant
1980	1980-12-07	14	5923	THE OLD NEIGHBORHOOD	Avery Corman
1980	1980-12-07	15	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-12-14	1	4897	THE COVENANT	James A. Michener
1980	1980-12-14	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-12-14	3	1830	FIRESTARTER	Stephen King
1980	1980-12-14	4	2770	LOON LAKE	E. L. Doctorow
1980	1980-12-14	5	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-12-14	6	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-12-14	7	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-12-14	8	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-12-14	9	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-12-14	10	5940	THE ORIGIN	Irving Stone
1980	1980-12-14	11	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-12-14	12	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-12-14	13	6222	THE SECOND LADY	Irving Wallace
1980	1980-12-14	14	2893	MANCHU	Robert S. Elegant
1980	1980-12-14	15	5923	THE OLD NEIGHBORHOOD	Avery Corman
1980	1980-12-21	1	4897	THE COVENANT	James A. Michener
1980	1980-12-21	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-12-21	3	1830	FIRESTARTER	Stephen King
1980	1980-12-21	4	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-12-21	5	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-12-21	6	2770	LOON LAKE	E. L. Doctorow
1980	1980-12-21	7	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-12-21	8	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-12-21	9	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-12-21	10	5940	THE ORIGIN	Irving Stone
1980	1980-12-21	11	2893	MANCHU	Robert S. Elegant
1980	1980-12-21	12	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-12-21	13	6222	THE SECOND LADY	Irving Wallace
1980	1980-12-21	14	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1980	1980-12-21	15	6140	THE RING	Danielle Steel
1980	1980-12-28	1	4897	THE COVENANT	James A. Michener
1980	1980-12-28	2	5529	THE KEY TO REBECCA	Ken Follett
1980	1980-12-28	3	7064	UNFINISHED TALES	J. R. R. Tolkien
1980	1980-12-28	4	1830	FIRESTARTER	Stephen King
1980	1980-12-28	5	1114	COME POUR THE WINE	Cynthia Freeman
1980	1980-12-28	6	2770	LOON LAKE	E. L. Doctorow
1980	1980-12-28	7	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1980	1980-12-28	8	479	ANSWER AS A MAN	Taylor Caldwell
1980	1980-12-28	9	5940	THE ORIGIN	Irving Stone
1980	1980-12-28	10	3696	RAGE OF ANGELS	Sidney Sheldon
1980	1980-12-28	11	5385	THE HIDDEN TARGET	Helen MacInnes
1980	1980-12-28	12	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1980	1980-12-28	13	1144	CONGO	Michael Crichton
1980	1980-12-28	14	6404	THE STORIES OF RAY BRADBURY	Ray Bradbury
1980	1980-12-28	15	153	A MAN	Oriana Fallaci
1981	1981-01-04	1	4897	THE COVENANT	James A. Michener
1981	1981-01-04	2	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-01-04	3	1830	FIRESTARTER	Stephen King
1981	1981-01-04	4	2770	LOON LAKE	E. L. Doctorow
1981	1981-01-04	5	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-01-04	6	2921	MASQUERADE	Kit Williams
1981	1981-01-04	7	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-01-04	8	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-01-04	9	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-01-04	10	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-01-04	11	5940	THE ORIGIN	Irving Stone
1981	1981-01-04	12	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-01-04	13	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1981	1981-01-04	14	2893	MANCHU	Robert S. Elegant
1981	1981-01-04	15	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-01-11	1	4897	THE COVENANT	James A. Michener
1981	1981-01-11	2	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-01-11	3	1830	FIRESTARTER	Stephen King
1981	1981-01-11	4	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-01-11	5	2770	LOON LAKE	E. L. Doctorow
1981	1981-01-11	6	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-01-11	7	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-01-11	8	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-01-11	9	5940	THE ORIGIN	Irving Stone
1981	1981-01-11	10	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-01-11	11	2893	MANCHU	Robert S. Elegant
1981	1981-01-11	12	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-01-11	13	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-01-11	14	153	A MAN	Oriana Fallaci
1981	1981-01-11	15	2252	HORN OF AFRICA	Philip Caputo
1981	1981-01-18	1	4897	THE COVENANT	James A. Michener
1981	1981-01-18	2	1830	FIRESTARTER	Stephen King
1981	1981-01-18	3	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-01-18	4	2770	LOON LAKE	E. L. Doctorow
1981	1981-01-18	5	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-01-18	6	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-01-18	7	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-01-18	8	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-01-18	9	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-01-18	10	5940	THE ORIGIN	Irving Stone
1981	1981-01-18	11	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-01-18	12	6483	THE TENTH COMMANDMENT	Lawrence Sanders
1981	1981-01-18	13	2893	MANCHU	Robert S. Elegant
1981	1981-01-18	14	6404	THE STORIES OF RAY BRADBURY	Ray Bradbury
1981	1981-01-18	15	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-01-25	1	4897	THE COVENANT	James A. Michener
1981	1981-01-25	2	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-01-25	3	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-01-25	4	1830	FIRESTARTER	Stephen King
1981	1981-01-25	5	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-01-25	6	2770	LOON LAKE	E. L. Doctorow
1981	1981-01-25	7	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-01-25	8	2921	MASQUERADE	Kit Williams
1981	1981-01-25	9	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-01-25	10	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-01-25	11	5940	THE ORIGIN	Irving Stone
1981	1981-01-25	12	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-01-25	13	4862	THE COLLECTED STORIES OF EUDORA WELTY	Eudora Welty
1981	1981-01-25	14	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-01-25	15	1144	CONGO	Michael Crichton
1981	1981-02-01	1	4897	THE COVENANT	James A. Michener
1981	1981-02-01	2	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-02-01	3	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-02-01	4	1830	FIRESTARTER	Stephen King
1981	1981-02-01	5	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-02-01	6	2770	LOON LAKE	E. L. Doctorow
1981	1981-02-01	7	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-02-01	8	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-02-01	9	2921	MASQUERADE	Kit Williams
1981	1981-02-01	10	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-02-01	11	1144	CONGO	Michael Crichton
1981	1981-02-01	12	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-02-01	13	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-02-01	14	2893	MANCHU	Robert S. Elegant
1981	1981-02-01	15	4862	THE COLLECTED STORIES OF EUDORA WELTY	Eudora Welty
1981	1981-02-08	1	4897	THE COVENANT	James A. Michener
1981	1981-02-08	2	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-02-08	3	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-02-08	4	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-02-08	5	1830	FIRESTARTER	Stephen King
1981	1981-02-08	6	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-02-08	7	2770	LOON LAKE	E. L. Doctorow
1981	1981-02-08	8	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-02-08	9	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-02-08	10	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-02-08	11	2893	MANCHU	Robert S. Elegant
1981	1981-02-08	12	2921	MASQUERADE	Kit Williams
1981	1981-02-08	13	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-02-08	14	1144	CONGO	Michael Crichton
1981	1981-02-08	15	153	A MAN	Oriana Fallaci
1981	1981-02-15	1	4897	THE COVENANT	James A. Michener
1981	1981-02-15	2	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-02-15	3	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-02-15	4	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-02-15	5	1830	FIRESTARTER	Stephen King
1981	1981-02-15	6	1144	CONGO	Michael Crichton
1981	1981-02-15	7	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-02-15	8	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-02-15	9	2921	MASQUERADE	Kit Williams
1981	1981-02-15	10	2770	LOON LAKE	E. L. Doctorow
1981	1981-02-15	11	819	BRAIN	Robin Cook
1981	1981-02-15	12	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-02-15	13	5940	THE ORIGIN	Irving Stone
1981	1981-02-15	14	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-02-15	15	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-02-22	1	4897	THE COVENANT	James A. Michener
1981	1981-02-22	2	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-02-22	3	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-02-22	4	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-02-22	5	1830	FIRESTARTER	Stephen King
1981	1981-02-22	6	2921	MASQUERADE	Kit Williams
1981	1981-02-22	7	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-02-22	8	2770	LOON LAKE	E. L. Doctorow
1981	1981-02-22	9	819	BRAIN	Robin Cook
1981	1981-02-22	10	984	CENTURY	Fred Mustard Stewart
1981	1981-02-22	11	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-02-22	12	1144	CONGO	Michael Crichton
1981	1981-02-22	13	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-02-22	14	5940	THE ORIGIN	Irving Stone
1981	1981-02-22	15	2893	MANCHU	Robert S. Elegant
1981	1981-03-01	1	4897	THE COVENANT	James A. Michener
1981	1981-03-01	2	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-03-01	3	2921	MASQUERADE	Kit Williams
1981	1981-03-01	4	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-03-01	5	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-03-01	6	819	BRAIN	Robin Cook
1981	1981-03-01	7	1830	FIRESTARTER	Stephen King
1981	1981-03-01	8	984	CENTURY	Fred Mustard Stewart
1981	1981-03-01	9	1144	CONGO	Michael Crichton
1981	1981-03-01	10	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-03-01	11	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-03-01	12	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-03-01	13	2770	LOON LAKE	E. L. Doctorow
1981	1981-03-01	14	4862	THE COLLECTED STORIES OF EUDORA WELTY	Eudora Welty
1981	1981-03-01	15	5385	THE HIDDEN TARGET	Helen MacInnes
1981	1981-03-08	1	4897	THE COVENANT	James A. Michener
1981	1981-03-08	2	2921	MASQUERADE	Kit Williams
1981	1981-03-08	3	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-03-08	4	819	BRAIN	Robin Cook
1981	1981-03-08	5	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-03-08	6	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-03-08	7	1830	FIRESTARTER	Stephen King
1981	1981-03-08	8	984	CENTURY	Fred Mustard Stewart
1981	1981-03-08	9	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-03-08	10	1144	CONGO	Michael Crichton
1981	1981-03-08	11	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-03-08	12	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-03-08	13	2770	LOON LAKE	E. L. Doctorow
1981	1981-03-08	14	4862	THE COLLECTED STORIES OF EUDORA WELTY	Eudora Welty
1981	1981-03-08	15	4849	THE CLAN OF THE CAVE BEAR	Jean M. Auel
1981	1981-03-15	1	4897	THE COVENANT	James A. Michener
1981	1981-03-15	2	2921	MASQUERADE	Kit Williams
1981	1981-03-15	3	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-03-15	4	819	BRAIN	Robin Cook
1981	1981-03-15	5	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-03-15	6	984	CENTURY	Fred Mustard Stewart
1981	1981-03-15	7	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-03-15	8	1830	FIRESTARTER	Stephen King
1981	1981-03-15	9	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-03-15	10	1144	CONGO	Michael Crichton
1981	1981-03-15	11	5130	THE FIFTH HORSEMAN	Larry Collins and Dominique Lapierre
1981	1981-03-15	12	7064	UNFINISHED TALES	J. R. R. Tolkien
1981	1981-03-15	13	2770	LOON LAKE	E. L. Doctorow
1981	1981-03-15	14	4875	THE COMPANY OF WOMEN	Mary Gordon
1981	1981-03-15	15	153	A MAN	Oriana Fallaci
1981	1981-03-22	1	4897	THE COVENANT	James A. Michener
1981	1981-03-22	2	819	BRAIN	Robin Cook
1981	1981-03-22	3	2921	MASQUERADE	Kit Williams
1981	1981-03-22	4	479	ANSWER AS A MAN	Taylor Caldwell
1981	1981-03-22	5	984	CENTURY	Fred Mustard Stewart
1981	1981-03-22	6	5529	THE KEY TO REBECCA	Ken Follett
1981	1981-03-22	7	1114	COME POUR THE WINE	Cynthia Freeman
1981	1981-03-22	8	1830	FIRESTARTER	Stephen King
1981	1981-03-22	9	3696	RAGE OF ANGELS	Sidney Sheldon
1981	1981-03-22	10	1144	CONGO	Michael Crichton
